Zeit;Kanal A
(ms);(mV)

-23,84374908;3,91609240
-23,83874908;3,91609240
-23,83374908;3,72969961
-23,82874908;3,17052150
-23,82374908;3,91609240
-23,81874908;3,72969961
-23,81374908;3,72969961
-23,80874908;3,35691428
-23,80374908;3,17052150
-23,79874908;3,35691428
-23,79374908;2,98351359
-23,78874908;3,35691428
-23,78374908;3,35691428
-23,77874908;3,72969961
-23,77374908;3,35691428
-23,76874908;3,35691428
-23,76374908;3,91609240
-23,75874908;4,10248518
-23,75374908;3,91609240
-23,74874908;4,28949261
-23,74374908;4,28949261
-23,73874908;4,47588587
-23,73374908;4,28949261
-23,72874908;4,66227818
-23,72374908;5,22207165
-23,71874908;4,84867096
-23,71374908;4,66227818
-23,70874908;3,91609240
-23,70374908;5,03506374
-23,69874908;4,66227818
-23,69374908;4,47588587
-23,68874909;3,35691428
-23,68374909;3,35691428
-23,67874909;3,17052150
-23,67374909;3,54330683
-23,66874909;3,35691428
-23,66374909;2,79712105
-23,65874909;3,35691428
-23,65374909;2,79712105
-23,64874909;2,79712105
-23,64374909;2,79712105
-23,63874909;2,42433548
-23,63374909;2,98351359
-23,62874909;2,42433548
-23,62374909;2,61072826
-23,61874909;2,42433548
-23,61374909;2,23794293
-23,60874909;2,05093503
-23,60374909;2,79712105
-23,59874909;1,67814958
-23,59374909;1,86454225
-23,58874909;1,86454225
-23,58374909;1,49175680
-23,57874909;0,74557084
-23,57374909;0,93196356
-23,56874909;0,93196356
-23,56374909;0,93196356
-23,55874909;0,93196356
-23,55374909;0,93196356
-23,54874909;0,93196356
-23,54374909;0,93196356
-23,53874909;0,93196356
-23,53374909;1,30536413
-23,52874909;0,37278542
-23,52374909;0,74557084
-23,51874909;1,49175680
-23,51374909;0,37278542
-23,50874909;0,93196356
-23,50374909;0,18639271
-23,49874909;1,30536413
-23,49374909;0,74557084
-23,48874909;1,49175680
-23,48374909;0,18639271
-23,47874909;1,11897147
-23,47374909;1,11897147
-23,46874909;0,55917817
-23,46374909;0,55917817
-23,45874909;0,93196356
-23,45374909;0,93196356
-23,44874909;0,18639271
-23,44374909;1,11897147
-23,43874909;0,93196356
-23,43374909;1,49175680
-23,42874909;1,67814958
-23,42374909;1,86454225
-23,41874909;1,30536413
-23,41374909;1,86454225
-23,40874909;1,49175680
-23,40374909;1,67814958
-23,39874909;1,86454225
-23,39374909;1,49175680
-23,38874909;1,67814958
-23,38374909;1,49175680
-23,37874909;1,11897147
-23,37374909;1,30536413
-23,36874909;1,11897147
-23,36374909;1,30536413
-23,35874909;1,67814958
-23,35374909;0,93196356
-23,34874909;1,49175680
-23,34374909;1,11897147
-23,33874909;1,30536413
-23,33374909;1,49175680
-23,32874909;0,93196356
-23,32374909;1,11897147
-23,31874909;2,05093503
-23,31374909;1,11897147
-23,30874909;1,11897147
-23,30374909;1,11897147
-23,29874909;1,11897147
-23,29374910;0,18639271
-23,28874910;0,93196356
-23,28374910;1,30536413
-23,27874910;1,11897147
-23,27374910;0,93196356
-23,26874910;0,74557084
-23,26374910;0,93196356
-23,25874910;0,93196356
-23,25374910;1,11897147
-23,24874910;0,93196356
-23,24374910;0,37278542
-23,23874910;0,55917817
-23,23374910;0,37278542
-23,22874910;0,00000000
-23,22374910;-0,74557084
-23,21874910;-0,74557084
-23,21374910;-0,93196356
-23,20874910;-1,30536413
-23,20374910;-1,30536413
-23,19874910;-2,23794293
-23,19374910;-2,23794293
-23,18874910;-2,05093503
-23,18374910;-3,17052150
-23,17874910;-3,54330683
-23,17374910;-3,72969961
-23,16874910;-3,17052150
-23,16374910;-3,72969961
-23,15874910;-3,54330683
