time; signal
1.559999999999929499e-05;1.432578750000000067e-01
1.579999999999984195e-05;1.464025599999999872e-01
1.600000000000038891e-05;1.498966545999999844e-01
1.619999999999920115e-05;1.533907491999999817e-01
1.639999999999974811e-05;1.568848437999999790e-01
1.660000000000029508e-05;1.603789384000000040e-01
1.680000000000084204e-05;1.642224426000000181e-01
1.699999999999965428e-05;1.677165372000000154e-01
1.719999999999846652e-05;1.712106318000000127e-01
1.740000000000074820e-05;1.754035448000000053e-01
1.759999999999956044e-05;1.792470482000000087e-01
1.780000000000010740e-05;1.830905516000000399e-01
1.799999999999891964e-05;1.869340552000000322e-01
1.819999999999946660e-05;1.907775587999999967e-01
1.840000000000001357e-05;1.946210623999999889e-01
1.859999999999882581e-05;1.984645660000000089e-01
1.880000000000110749e-05;2.023080696000000289e-01
1.899999999999991973e-05;2.065009828000000103e-01
1.920000000000046669e-05;2.103444865999999913e-01
1.939999999999927893e-05;2.141879903999999724e-01
1.959999999999982589e-05;2.183809037999999980e-01
1.980000000000037286e-05;2.222244076000000068e-01
1.999999999999918510e-05;2.267667305999999938e-01
2.019999999999973206e-05;2.313090536000000086e-01
2.040000000000027902e-05;2.355019674000000118e-01
2.060000000000082598e-05;2.400442903999999988e-01
2.079999999999963822e-05;2.442372042000000021e-01
2.099999999999845046e-05;2.484301179999999776e-01
2.120000000000073215e-05;2.526230312000000144e-01
2.139999999999954439e-05;2.571653540000000127e-01
2.160000000000009135e-05;2.613582672000000495e-01
2.179999999999890359e-05;2.662499996000000091e-01
2.199999999999945055e-05;2.707923223999999518e-01
2.219999999999999751e-05;2.749852355999999887e-01
2.239999999999880975e-05;2.795275583999999869e-01
2.259999999999935671e-05;2.840698811999999851e-01
2.279999999999990368e-05;2.886122039999999833e-01
2.300000000000045064e-05;2.931545267999999815e-01
2.319999999999926288e-05;2.976968500000000128e-01
2.339999999999980984e-05;3.022391731999999887e-01
2.360000000000035680e-05;3.071309053999999317e-01
2.379999999999916904e-05;3.116732285999999630e-01
2.399999999999971600e-05;3.162155512000000002e-01
2.420000000000026297e-05;3.207578737999999818e-01
2.440000000000080993e-05;3.256508361999999601e-01
2.459999999999962217e-05;3.301943891999999381e-01
2.479999999999843441e-05;3.350873515999999719e-01
2.500000000000071609e-05;3.399803141999999667e-01
2.519999999999952833e-05;3.448732767999999616e-01
2.540000000000007530e-05;3.497662393999999564e-01
2.559999999999888753e-05;3.543097923999999344e-01
2.580000000000116922e-05;3.595521646000000016e-01
2.599999999999998146e-05;3.644451271999999964e-01
2.619999999999879370e-05;3.696874992000000471e-01
2.639999999999934066e-05;3.745804618000000419e-01
2.659999999999988762e-05;3.794734242000000202e-01
2.680000000000043459e-05;3.843663865999999985e-01
2.699999999999924682e-05;3.896087586000000491e-01
2.719999999999979379e-05;3.948511306000000998e-01
2.740000000000034075e-05;3.993946842000000719e-01
2.759999999999915299e-05;4.046370570000000222e-01
2.779999999999969995e-05;4.098794298000000280e-01
2.800000000000024691e-05;4.147723930000000170e-01
2.820000000000079388e-05;4.200147658000000228e-01
2.839999999999960612e-05;4.252571386000000286e-01
2.859999999999841835e-05;4.308489198000000076e-01
2.880000000000070004e-05;4.364407009999999865e-01
2.899999999999951228e-05;4.416830725999999485e-01
2.920000000000005924e-05;4.472748537999999829e-01
2.939999999999887148e-05;4.528666350000000174e-01
2.960000000000115317e-05;4.581090065999999794e-01
2.979999999999996541e-05;4.640501974000000307e-01
2.999999999999877764e-05;4.692925690000000483e-01
3.019999999999932461e-05;4.745349406000000103e-01
3.039999999999987157e-05;4.801267217999999892e-01
3.060000000000041853e-05;4.857185029999999681e-01
3.079999999999923077e-05;4.913102841999999471e-01
3.100000000000151246e-05;4.972514749999999428e-01
3.120000000000032470e-05;5.028432567999999714e-01
3.139999999999913693e-05;5.084350386000000555e-01
3.159999999999968390e-05;5.143762299999999899e-01
3.180000000000023086e-05;5.199680117999999629e-01
3.200000000000077782e-05;5.255597935999999359e-01
3.219999999999959006e-05;5.315009849999999814e-01
3.239999999999840230e-05;5.370927668000000654e-01
3.260000000000068399e-05;5.426845486000000385e-01
3.279999999999949623e-05;5.486257397999999563e-01
3.300000000000004319e-05;5.545669309999999852e-01
3.319999999999885543e-05;5.601587125999999417e-01
3.340000000000113711e-05;5.660999026000000933e-01
3.359999999999994935e-05;5.716916836000001112e-01
3.379999999999876159e-05;5.779822832000001132e-01
3.399999999999930855e-05;5.839234738000000924e-01
3.419999999999985552e-05;5.898646644000000716e-01
3.440000000000040248e-05;5.958046248000000711e-01
3.459999999999921472e-05;6.017445852000000706e-01
3.480000000000149640e-05;6.076845455999999590e-01
3.500000000000030864e-05;6.136245060000000695e-01
3.519999999999912088e-05;6.195644664000001800e-01
3.539999999999966784e-05;6.255044268000000685e-01
3.560000000000021481e-05;6.317937968000000293e-01
3.580000000000076177e-05;6.377337572000000288e-01
3.599999999999957401e-05;6.440231271999999896e-01
3.619999999999838625e-05;6.499630877999998946e-01
3.640000000000066793e-05;6.562524577999999664e-01
3.659999999999948017e-05;6.625418279999999438e-01
3.680000000000002713e-05;6.688311982000000322e-01
3.699999999999883937e-05;6.751205684000000096e-01
3.720000000000112106e-05;6.814099386000000980e-01
3.739999999999993330e-05;6.876993088000000753e-01
3.759999999999874554e-05;6.939886790000000527e-01
3.779999999999929250e-05;7.002780491999999191e-01
3.799999999999983946e-05;7.062180097999999351e-01
3.820000000000038642e-05;7.125073786000000187e-01
3.839999999999919866e-05;7.187967474000001022e-01
3.859999999999974563e-05;7.247367077999999907e-01
3.880000000000029259e-05;7.306766682000001012e-01
3.899999999999910483e-05;7.369660382000000620e-01
3.919999999999965179e-05;7.429059985999999505e-01
3.940000000000019875e-05;7.491965988000001131e-01
3.960000000000074571e-05;7.554871990000000537e-01
3.979999999999955795e-05;7.614283896000000329e-01
3.999999999999837019e-05;7.677189898000000845e-01
4.020000000000065188e-05;7.740095900000001361e-01
4.039999999999946412e-05;7.799507806000000043e-01
4.060000000000001108e-05;7.862413808000000559e-01
4.079999999999882332e-05;7.925319809999999965e-01
4.100000000000110500e-05;7.984731715999999757e-01
4.119999999999991724e-05;8.047637718000000273e-01
4.139999999999872948e-05;8.110543720000000789e-01
4.159999999999927645e-05;8.173449722000000195e-01
4.179999999999982341e-05;8.236355723999999601e-01
4.200000000000037037e-05;8.299261726000000117e-01
4.219999999999918261e-05;8.362167727999999522e-01
4.239999999999972957e-05;8.425073729999998928e-01
4.260000000000027653e-05;8.487979731999999444e-01
4.279999999999908877e-05;8.550885736000000126e-01
4.299999999999963574e-05;8.613791740000000807e-01
4.320000000000018270e-05;8.680191840000001102e-01
4.340000000000072966e-05;8.743097855999999446e-01
4.359999999999954190e-05;8.806003872000000010e-01
4.380000000000008886e-05;8.868909887999999464e-01
4.400000000000063582e-05;8.931815903999998918e-01
4.419999999999944806e-05;8.994721919999999482e-01
4.439999999999999503e-05;9.057627936000001156e-01
4.459999999999880727e-05;9.120533952000000610e-01
4.480000000000108895e-05;9.186934064000000788e-01
4.499999999999990119e-05;9.249840080000000242e-01
4.519999999999871343e-05;9.312746095999999696e-01
4.539999999999926039e-05;9.379146206000000818e-01
4.559999999999980735e-05;9.442052220000001217e-01
4.580000000000035432e-05;9.504958234000000505e-01
4.599999999999916656e-05;9.567864248000000904e-01
4.619999999999971352e-05;9.630770262000001303e-01
4.640000000000026048e-05;9.693676276000000591e-01
4.659999999999907272e-05;9.756582266000000114e-01
4.679999999999961968e-05;9.819488255999999637e-01
4.700000000000016664e-05;9.878900150000000657e-01
4.720000000000071361e-05;9.941806140000000180e-01
4.739999999999952585e-05;1.000471212999999970e+00
4.760000000000007281e-05;1.006412402400000072e+00
4.780000000000061977e-05;1.012703001400000025e+00
4.799999999999943201e-05;1.019343010000000049e+00
4.819999999999997897e-05;1.025633610399999895e+00
4.839999999999879121e-05;1.031924210799999964e+00
4.860000000000107290e-05;1.038214811200000032e+00
4.879999999999988514e-05;1.044854821200000172e+00
4.899999999999869738e-05;1.051145421600000240e+00
4.919999999999924434e-05;1.057785431599999937e+00
4.939999999999979130e-05;1.064074801799999914e+00
4.960000000000033826e-05;1.070364171999999670e+00
4.979999999999915050e-05;1.076653542199999869e+00
4.999999999999969746e-05;1.082942912399999846e+00
5.020000000000024443e-05;1.089232282600000046e+00
5.039999999999905667e-05;1.095521652800000023e+00
5.059999999999960363e-05;1.101811023000000000e+00
5.079999999999841587e-05;1.108100393200000200e+00
5.100000000000069755e-05;1.114389763400000177e+00
5.119999999999950979e-05;1.120679133399999916e+00
5.140000000000005675e-05;1.126968503399999877e+00
5.160000000000060372e-05;1.133257873399999838e+00
5.179999999999941596e-05;1.139547243400000021e+00
5.199999999999996292e-05;1.145836613399999981e+00
5.219999999999877516e-05;1.151776573800000092e+00
5.240000000000105684e-05;1.158065943800000053e+00
5.259999999999986908e-05;1.164355313800000236e+00
5.280000000000041604e-05;1.170644683800000196e+00
5.299999999999922828e-05;1.176934053800000379e+00
5.319999999999977525e-05;1.183224654000000209e+00
5.340000000000032221e-05;1.189164614400000319e+00
5.359999999999913445e-05;1.195455214600000149e+00
5.379999999999968141e-05;1.201396405200000128e+00
5.400000000000022837e-05;1.207687005399999958e+00
5.419999999999904061e-05;1.213977605599999787e+00
5.439999999999958757e-05;1.219918796199999766e+00
5.459999999999839981e-05;1.225859986799999746e+00
5.480000000000068150e-05;1.231801177399999947e+00
5.499999999999949374e-05;1.237742368000000148e+00
